Part, Description, Link, Quantity, Price (USD)
120 V pump, Pump to circulate water in the tub, https://www.amazon.com/gp/product/B076TGWYDK/ref=as_li_tl?ie=UTF8&tag=stocktankpool-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B076TGWYDK&linkId=fd94c94b23199dd8b5c64549eaa085a6, 1, 99.99
Hose, 20 ft 0.5 in diameter hose, https://www.amazon.com/gp/product/B004DL0Y9O/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B004DL0Y9O&linkCode=as2&tag=stocktankpool-20&linkId=0393c061076d6cebe528bab0ca391bc9, 1, 9.98
Garden hose adapters, Adapter fittings, https://www.amazon.com/gp/product/B0798JVW7X/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0798JVW7X&linkCode=as2&tag=stocktankpool-20&linkId=2f38754366e1f81fcf2f32369b119a4f, 1, 11.98
Water filter, Filter for water through pump, https://www.amazon.com/gp/product/B07GZL9M7Q/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B07GZL9M7Q&linkCode=as2&tag=stocktankpool-20&linkId=ba0088eaaa959ddd406a598ac8edbdbe, 1, 12.18
Hole saw, Drill bit to cut through tank, https://www.amazon.com/gp/product/B0052EDINA/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0052EDINA&linkCode=as2&tag=stocktankpool-20&linkId=1930ce5b0878365cdf89b3b0503de34e, 1, 16.00
Outdoor power strip, Power strip with remote on/off, https://www.amazon.com/gp/product/B0052EDINA/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B0052EDINA&linkCode=as2&tag=stocktankpool-20&linkId=1930ce5b0878365cdf89b3b0503de34e, 1, 29.99
Through fittings, Fitting to drain and connect hose, https://www.amazon.com/gp/product/B019YMGNDW/ref=as_li_tl?ie=UTF8&tag=stocktankpool-20&camp=1789&creative=9325&linkCode=as2&creativeASIN=B019YMGNDW&linkId=11f9c745bd0d6d705b229cbb63284dfa, 2, 15.95
Propane water heater, Heater for the water, https://www.amazon.com/gp/product/B01CJPU7ZQ/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B01CJPU7ZQ&linkCode=as2&tag=stocktankpool-20&linkId=143e55b45d8167cc89d8e57df75d7c6a, 1, 239.99
Propane tank, Tank to hold propane fuel, N/A, 1, 20
Stock tank, Metal tank 6' x 3' x 2', https://www.tractorsupply.com/tsc/product/countyline-round-galvanized-stock-tank-6-ft-w-x-2-ft-h-390-gal-capacity, 1, 300.00
